Memory,RAM,Battery_,Rear Camera,Front Camera,Mobile Height,Processor_,Prize,Simplified Colour,Model_Apple Iphone 12,Model_Apple Iphone 14 Plus,Model_Google Pixel 6A,Model_Google Pixel 7,Model_Google Pixel 7A,Model_I Kall Z19Pro,Model_I Kall Z19Pro Flash Blue,Model_Infinix Hot 11,Model_Infinix Hot 12,Model_Infinix Hot 12 Play,Model_Infinix Hot 12 Pro,Model_Infinix Hot 20 5G,Model_Infinix Hot 20 Play,Model_Infinix Hot 30I,Model_Infinix Note 11S Free Fire Edition,Model_Infinix Note 12,Model_Infinix Note 12 5G,Model_Infinix Note 12 Pro,Model_Infinix Note 12 Pro 5G,Model_Infinix Note 12I,Model_Infinix Smart 5A,Model_Infinix Smart 6,Model_Infinix Smart 6 Hd,Model_Infinix Smart 7,Model_Infinix Smart 7 Hd,Model_Infinix Zero 20,Model_Infinix Zero 5G 2023,Model_Infinix Zero 5G 2023 Turbo,Model_Iqoo Neo 7 5G,Model_Itel A60,Model_Lava Z2,Model_Lava Z21,Model_Micromax,Model_Micromax 1,Model_Micromax 2,Model_Micromax 3,Model_Micromax In 2C,Model_Micromax1,Model_Motorola E13,Model_Motorola E22S,Model_Motorola E32,Model_Motorola E40,Model_Motorola Edge 30,Model_Motorola Edge 30 Fusion,Model_Motorola Edge 30 Ultra,Model_Motorola Edge 40,Model_Motorola G13,Model_Motorola G22,Model_Motorola G31,Model_Motorola G32,Model_Motorola G42,Model_Motorola G52,Model_Motorola G62 5G,Model_Motorola G72,Model_Motorola G73 5G,Model_Motorola G82 5G,Model_Nokia C01 Plus,Model_Nokia G11 Plus,Model_Nothing Phone 1,Model_Oneplus 8,Model_Oneplus Nord,Model_Oneplus Nord 2T 5G,Model_Oppo A17,Model_Oppo A17K,Model_Oppo A77,Model_Oppo A77S,Model_Oppo A78 5G,Model_Oppo F21 Pro,Model_Oppo F21S Pro,Model_Oppo Reno8T 5G,Model_Poco C31,Model_Poco C50,Model_Poco C51,Model_Poco C55,Model_Poco F1,Model_Poco F5 5G,Model_Poco M3 Pro 5G,Model_Poco M4 5G,Model_Poco M4 Pro,Model_Poco M4 Pro 5G,Model_Poco M5,Model_Poco X2,Model_Poco X4 Pro 5G,Model_Poco X5 5G,Model_Poco X5 Pro 5G,Model_Realme 10,Model_Realme 10 Pro 5G,Model_Realme 10 Pro+ 5G,Model_Realme 8,Model_Realme 8I,Model_Realme 9 5G,Model_Realme 9 5G Se,Model_Realme 9 Pro+ 5G,Model_Realme 9I,Model_Realme 9I 5G,Model_Realme C11 2021,Model_Realme C21Y,Model_Realme C25S,Model_Realme C30,Model_Realme C30S,Model_Realme C31,Model_Realme C33,Model_Realme C33 2023,Model_Realme C35,Model_Realme C55,Model_Realme Gt 2,Model_Realme Narzo 30,Model_Realme Narzo 30 Pro 5G,Model_Realme Narzo 50,Model_Realme Narzo 50A,Model_Realme Narzo 50A Prime,Model_Realme Narzo 50I,Model_Realme Narzo 50I Prime,Model_Realme Narzo N55,Model_Realme X3 Superzoom,Model_Redmi 10,Model_Redmi 10 Prime 2022,Model_Redmi 10A Sport,Model_Redmi 11 Prime,Model_Redmi 12C,Model_Redmi 9 Activ,Model_Redmi 9A Sport,Model_Redmi 9I,Model_Redmi A1+,Model_Redmi K50I 5G,Model_Redmi Max,Model_Redmi Min,Model_Redmi Mono,Model_Redmi Note 10 Lite,Model_Redmi Note 10S,Model_Redmi Note 11,Model_Redmi Note 11S,Model_Redmi Note 11T 5G,Model_Redmi Note 12,Model_Redmi Note 12 5G,Model_Redmi Note 12 Pro 5G,Model_Redmi Note 12 Pro+ 5G,Model_Redmi Note 9,Model_Samsung Galaxy A04,Model_Samsung Galaxy A04E,Model_Samsung Galaxy A13,Model_Samsung Galaxy A14 5G,Model_Samsung Galaxy A23,Model_Samsung Galaxy A23 5G,Model_Samsung Galaxy A34 5G,Model_Samsung Galaxy A54 5G,Model_Samsung Galaxy F04,Model_Samsung Galaxy F13,Model_Samsung Galaxy F14 5G,Model_Samsung Galaxy F23 5G,Model_Samsung Galaxy M04,Model_Samsung Galaxy S21 Fe 5G,Model_Samsung Galaxy S22 Plus 5G,Model_Samsung Galaxy S23 5G,Model_Samsung Galaxy Z Flip3 5G,Model_Samsung M53 5G,Model_Tecno Pop 5 Pro,Model_Tecno Pova 3,Model_Tecno Spark 8T,Model_Tecno Spark 9,Model_Tecno Spark 9T,Model_Tecno Spark Go 2023,Model_Vivo T1 44W,Model_Vivo T1 Pro 5G,Model_Vivo T2 5G,Model_Vivo T2X 5G,Model_Vivo V23 5G,Model_Vivo V25 5G,Model_Vivo V25 Pro 5G,Model_Vivo V27 5G,Model_Vivo Y100 5G,Model_Vivo Y12G,Model_Vivo Y16,Model_Vivo Y1S,Model_Vivo Y21T,Model_Vivo Y33S,Model_Vivo Y35,Model_Vivo Y56 5G,Model_Vivo Y565G,Model_Vivo Y75
64,4,6000,50MP,5MP,17.02,Qualcomm Snapdragon 680,9499.0,Shadow Black,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,5000,50MP,5MP,16.76,G37,7999.0,Glacier Blue,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,6000,13MP,5MP,16.76,Unisoc Spreadtrum SC9863A1,7299.0,Emerald Green,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,4,6000,50MP,8MP,16.76,Exynos 850,10699.0,Waterfall Blue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,5000,13MP,5MP,16.51,Mediatek Helio P35,7299.0,Opal Green,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,5000,8MP,5MP,16.56,Helio G36,6999.0,Royal Blue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,5000,50MP,5MP,16.76,G37,7999.0,Marigold,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,5000,8MP,5MP,16.56,Helio G36,6999.0,Power Black,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2,5000,8MP,5MP,16.56,Mediatek Helio A22,5649.0,Country Green,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,5000,13MP,5MP,16.51,Unisoc T606,7299.0,Cosmic Black,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,8,5000,50MP,8MP,16.71,Dimensity 6020,15999.0,Aurora Gold,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,8,5000,50MP,8MP,16.71,Dimensity 6020,15999.0,Marine Blue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
